model,MAE,RMSE,R2,PoissonDev,capture@1%,capture@5%,capture@10%,capture@20%
LightGBM-Tweedie,0.2697,1.4514,0.1913,0.9301,0.292,0.5646,0.6912,0.8119
RandomForest,0.2845,1.4486,0.1945,1.0436,0.2864,0.5636,0.6891,0.8081
LightGBM-Poisson,0.2806,1.4733,0.1668,0.9135,0.2794,0.5632,0.6852,0.8063
HistGB-Poisson,0.2844,1.4805,0.1586,0.9108,0.2816,0.5631,0.6879,0.8038
XGBoost-Poisson,0.283,1.4684,0.1723,0.9048,0.287,0.5612,0.6844,0.8033
MLP(tabular),0.31945,1.48913,0.14878,0.87852,0.27754,0.54693,0.6814,0.80303
Baseline(hist-mean),0.2876,1.4735,0.1665,1.0028,0.2686,0.5372,0.6682,0.7996
GRU,0.34472,1.48827,0.14976,0.93926,0.26376,0.53374,0.64974,0.77039
Poisson-GLM,0.3093,1.5212,0.1118,0.8989,0.2681,0.5233,0.6525,0.7826
LSTM,0.34716,1.49351,0.14376,0.97303,0.264,0.50784,0.62834,0.74944
