model,RMSE,MAE,R2,PoissonDev,capture@1%,capture@5%,capture@10%,capture@20%
LGBM-Tweedie-tuned(it=153),1.4555,0.2728,0.1868,0.9157,0.2867,0.5633,0.6877,0.8038
LGBM-Poisson-tuned(it=198),1.4668,0.2856,0.1741,0.8493,0.2832,0.5625,0.6863,0.8042
Stack(NNLS),1.4479,0.2906,0.1953,0.8575,0.2869,0.5616,0.6899,0.8045
XGB-Poisson-tuned(it=288),1.4597,0.2888,0.1821,0.8451,0.2842,0.5615,0.6884,0.806
HistGB-Poisson,1.481,0.2854,0.1581,0.9133,0.2804,0.5607,0.6858,0.8013
RandomForest,1.4494,0.2832,0.1935,1.0035,0.2842,0.5594,0.689,0.8057
LGBM-Poisson,1.4792,0.2834,0.1601,0.9146,0.2793,0.5579,0.6819,0.8019
XGB-Poisson,1.468,0.2834,0.1727,0.9027,0.2854,0.5568,0.6819,0.8023
LGBM-Tweedie(p=1.5),1.463,0.2668,0.1784,1.0641,0.2861,0.5555,0.6774,0.7931
Hurdle(LGBM),1.4683,0.2826,0.1725,0.939,0.2804,0.5536,0.6813,0.8028
XGB-Tweedie(p=1.5),1.4707,0.2669,0.1697,1.0712,0.2847,0.5497,0.6755,0.79
Baseline(hist-mean),1.4735,0.2876,0.1665,1.0028,0.2686,0.5372,0.6682,0.7996
Poisson-GLM,1.5051,0.3009,0.1305,0.9008,0.2628,0.5222,0.6497,0.7793
