cell,cell_lat,cell_lon,total_events,dom_vehicle,dom_junction,cell_junction_share,cell_sev_mean,cell_veh_mean,cell_impact_sum,train_events,dom_police_station,pred_daily_viol,actual_daily_viol,pred_total,peak_block,peak_block_label,mean_impact_per_viol,epi_raw,EPI,zone_id
100_238,12.8509053,77.65745645744681,47,SCOOTER,No Junction,0.0,0.7,0.6,23.562,47,Electronic City,0.2325399282582206,0.0,9.069057202070603,3,Afternoon (12-16),0.501,0.11650250405736852,3.2,127
102_241,12.854323651724139,77.6621129448276,29,SCOOTER,No Junction,0.0,0.6,0.6137931034482759,16.02,29,Electronic City,0.29798349564378124,0.0,11.621356330107469,2,Morning Peak (08-12),0.552,0.16448688959536725,4.4,128
103_242,12.85555155,77.66427810357142,28,SCOOTER,No Junction,0.0,0.8892857142857142,0.7928571428571428,17.104,27,Electronic City,0.2421746297324715,0.02564102564102564,9.444810559566388,0,Late Night (00-04),0.611,0.1479686987665401,4.0,129
103_243,12.85498282195122,77.66492144878049,41,SCOOTER,No Junction,0.0,0.8878048780487805,0.8048780487804879,31.272,38,Electronic City,0.35458818139266307,0.07692307692307693,13.828939074313858,2,Morning Peak (08-12),0.763,0.27055078240260194,6.9,130
104_192,12.857070259403962,77.58895029966695,21,CAR,No Junction,0.0,0.6523809523809524,0.9428571428571428,14.04,14,Hulimavu,0.11420366535430637,0.1794871794871795,4.453942948817949,2,Morning Peak (08-12),0.669,0.07640225212203097,2.1,131
105_192,12.857967199949274,77.58904821590635,26,CAR,No Junction,0.0,0.6423076923076922,0.9076923076923078,14.946,12,Hulimavu,0.1140713671085753,0.358974358974359,4.448783317234436,1,Early Morning (04-08),0.575,0.06559103608743079,1.8,132
108_153,12.862518054545456,77.53025338181818,33,CAR,No Junction,0.0,0.6484848484848484,0.9696969696969697,23.983999999999998,33,Thalagattapura,0.24041826112683276,0.0,9.376312183946478,2,Morning Peak (08-12),0.727,0.1747840758392074,4.6,133
113_235,12.870080993088111,77.6535537960076,151,SCOOTER,No Junction,0.0,0.6960264900662251,0.7132450331125828,83.959,122,Electronic City,1.3936857654211157,0.7435897435897436,54.353744851423514,3,Afternoon (12-16),0.556,0.7748892855741404,16.5,0
113_236,12.870717328939524,77.65455022050837,158,SCOOTER,No Junction,0.0,0.7056962025316456,0.7943037974683544,93.812,143,Electronic City,0.7617766052532107,0.38461538461538464,29.709287604875215,2,Morning Peak (08-12),0.594,0.4524953035204071,10.8,0
113_237,12.870575135714287,77.65596957380951,84,CAR,No Junction,0.0,0.6880952380952381,0.9511904761904763,62.993,73,Electronic City,0.5209004790720982,0.28205128205128205,20.31511868381183,2,Morning Peak (08-12),0.75,0.3906753593040737,9.5,0
