rank,zone_id,n_cells,lat,lon,total_events,pred_daily_viol,mean_impact_per_viol,dom_police_station,epi_raw,zone_EPI
1,48,135,12.971781926460773,77.57769927524382,53668,324.92,0.796,Upparpet,258.63632,100.0
2,76,57,12.98222593578422,77.60692811509116,22811,138.95,0.865,Shivajinagar,120.19174999999998,86.3
3,74,62,12.995597646279194,77.55049870731267,12454,64.17,0.779,Rajajinagar,49.98843,70.7
4,30,39,12.936217214071103,77.69235730434104,12024,62.35,0.676,HAL Old Airport,42.1486,67.7
5,94,22,13.01018038756649,77.55334828258889,9207,53.59,0.786,Malleshwaram,42.12174,67.7
6,78,48,12.999792501952774,77.57143883009378,8896,47.45,0.694,Malleshwaram,32.9303,63.4
7,62,31,12.974468384296818,77.54936788629387,8418,44.74,0.614,Vijayanagara,27.47036,60.2
8,121,11,13.185476675518867,77.68009417803623,4028,26.28,0.749,Chikkajala,19.68372,54.5
9,118,14,13.07100957894657,77.58840973856282,5128,32.06,0.576,Kodigehalli,18.46656,53.4
10,99,9,13.00845003228096,77.69534536487429,3466,21.14,0.607,K.R. Pura,12.83198,47.3
11,69,39,12.973484152424241,77.61576940982813,4041,19.86,0.642,Halasur,12.75012,47.1
12,59,17,12.967274922194148,77.53781703261649,3637,16.05,0.73,Vijayanagara,11.7165,45.7
13,111,9,13.035575777525363,77.5890654218605,3144,20.15,0.512,Hebbala,10.316799999999999,43.6
14,86,6,12.996285874912193,77.66859253131506,1537,10.03,0.906,Mahadevapura,9.08718,41.6
15,40,13,12.943791838462921,77.57143900625239,2054,11.44,0.718,Basavanagudi,8.21392,39.9
16,22,18,12.928725969305964,77.58330978826982,2046,9.65,0.811,Jayanagara,7.826150000000001,39.2
17,51,12,12.963088247313204,77.71717525792475,2223,10.84,0.698,HAL Old Airport,7.566319999999999,38.6
18,66,15,12.97007373273967,77.64388400175481,1718,9.16,0.718,Jeevanbheemanagar,6.57688,36.4
19,92,6,13.000357552892705,77.67694814965195,1702,9.55,0.644,Banaswadi,6.150200000000001,35.4
20,126,7,12.841848077238332,77.64604952043473,1816,11.01,0.547,Electronic City,6.02247,35.1
21,46,6,12.953090640720305,77.54211544209645,1232,6.54,0.806,Byatarayanapura,5.271240000000001,33.0
22,28,8,12.926965490458839,77.67876497649992,1643,8.01,0.626,Bellandur,5.01426,32.3
23,65,13,12.971036439626005,77.59747147542298,1123,5.62,0.847,Cubbon Park,4.76014,31.5
24,87,7,12.995531760921104,77.69573450381039,1186,4.99,0.95,Mahadevapura,4.7405,31.4
25,83,6,12.992640483543326,77.58895539357285,2472,9.83,0.479,High ground,4.70857,31.3
26,33,13,12.935421768586387,77.61514883964098,1337,5.93,0.774,Adugodi,4.58982,31.0
27,50,7,12.957909956285889,77.70154324775687,1343,7.77,0.579,HAL Old Airport,4.498829999999999,30.7
28,53,10,12.959800135023174,77.64681577072089,1278,6.56,0.661,Jeevanbheemanagar,4.33616,30.1
29,13,7,12.912136069795404,77.63623807256833,1555,8.01,0.518,HSR Layout,4.14918,29.5
30,97,4,13.00569946221722,77.68580401433654,1033,5.47,0.657,K.R. Pura,3.59379,27.4
31,80,7,12.988843736567155,77.53775587057137,863,3.63,0.917,Kamakshipalya,3.32871,26.4
32,4,17,12.890395970244128,77.63891046339717,1379,5.59,0.579,Hulimavu,3.2366099999999998,26.0
33,257,1,12.971750372962727,77.65809423631427,1041,6.13,0.524,Jeevanbheemanagar,3.21212,25.9
34,84,15,12.995500304285716,77.61265927922078,1540,7.0,0.454,Pulikeshinagar(F.Town),3.178,25.7
35,123,4,13.191240955924933,77.64622060227882,746,3.96,0.777,Chikkajala,3.07692,25.3
36,75,6,12.98033769299515,77.5566274368403,697,3.85,0.759,Magadi Road,2.9221500000000002,24.6
37,106,8,13.027864107927291,77.57470887662032,1051,4.24,0.656,Sadashivanagar,2.7814400000000004,23.9
38,7,9,12.906582051339601,77.6300880075275,888,3.9,0.711,HSR Layout,2.7729,23.9
39,58,6,12.962022052780084,77.59825751029045,1205,5.3,0.476,Ashok Nagar,2.5227999999999997,22.7
40,100,9,13.018470092272025,77.53167263972179,647,2.84,0.868,Rajajinagar,2.4651199999999998,22.4
41,107,6,13.030127903137654,77.53739818705954,674,3.25,0.676,Yeshwanthpura,2.197,20.9
42,60,6,12.964379906294708,77.55399107052934,699,3.6,0.585,Magadi Road,2.106,20.4
43,70,8,12.971973693894377,77.71176386908799,695,3.39,0.62,HAL Old Airport,2.1018,20.4
44,77,7,12.984108959124658,77.56110476490495,492,2.1,0.916,Magadi Road,1.9236000000000002,19.3
45,95,6,13.007726344021739,77.52682773396738,368,1.77,1.045,Rajajinagar,1.8496499999999998,18.8
46,103,6,13.024903173989967,77.58526205476177,562,2.62,0.705,R.T. Nagar,1.8471,18.8
47,61,3,12.965128746113901,77.64152396753086,407,1.84,0.987,Jeevanbheemanagar,1.8160800000000001,18.6
48,85,5,12.993576780468647,77.66254529158616,798,3.43,0.528,Banaswadi,1.8110400000000002,18.6
49,73,4,12.979169341390573,77.69516230964125,441,2.17,0.819,Mahadevapura,1.7772299999999999,18.4
50,6,3,12.899739986117076,77.67546906027181,533,2.68,0.614,Bellandur,1.64552,17.5
51,24,7,12.92837959011628,77.60950578226743,344,1.64,1.0,Mico Layout,1.64,17.5
52,117,9,13.063068379858155,77.5893130012766,705,2.36,0.675,Kodigehalli,1.593,17.1
53,89,5,12.997321625719966,77.58350974199053,443,1.69,0.926,Sheshadripuram,1.56494,16.9
54,54,4,12.960957256390977,77.51171376315791,399,2.1,0.743,Jnanabharathi,1.5603,16.9
55,36,5,12.93839647679343,77.58444708892563,839,2.69,0.579,Wilson Garden,1.55751,16.9
56,91,4,13.000282861335675,77.61131130316343,569,2.92,0.525,Pulikeshinagar(F.Town),1.533,16.7
57,16,3,12.916984515269649,77.57353026209948,418,2.32,0.651,Banashankari,1.5103199999999999,16.6
58,71,10,12.978350612353923,77.5912338557596,599,2.19,0.683,Cubbon Park,1.49577,16.5
59,113,6,13.04748090996714,77.57558119791895,913,3.12,0.47,Kodigehalli,1.4664,16.2
60,25,6,12.925261107509417,77.6188777588481,469,1.82,0.78,Madiwala,1.4196000000000002,15.9
61,120,6,13.097258511906784,77.59933729251723,666,3.36,0.42,Yelahanka,1.4111999999999998,15.8
62,88,4,12.996522205956678,77.56255879602888,554,2.34,0.576,Sheshadripuram,1.34784,15.4
63,72,7,12.978511649016202,77.63974315258403,507,1.96,0.666,Jeevanbheemanagar,1.30536,15.0
64,29,7,12.928988123777637,77.69513737838645,441,1.37,0.932,Bellandur,1.2768400000000002,14.8
65,32,5,12.932173196795953,77.63186719021922,593,2.04,0.549,Adugodi,1.11996,13.5
66,43,4,12.94518963448195,77.59540843275758,330,1.56,0.711,Wilson Garden,1.10916,13.4
67,47,6,12.9537925496,77.591625154,250,1.21,0.901,Wilson Garden,1.09021,13.3
68,49,5,12.957309319080458,77.51879599793104,435,1.57,0.667,Byatarayanapura,1.04719,12.9
69,55,4,12.960825629649047,77.52825813929432,767,1.85,0.559,Byatarayanapura,1.0341500000000001,12.8
70,14,4,12.913078017198785,77.67957991132475,289,1.44,0.66,Bellandur,0.9504,12.0
71,15,5,12.913688743086174,77.60654741983969,499,1.67,0.563,Mico Layout,0.9402099999999999,11.9
72,0,6,12.87050474018645,77.65490656436444,476,1.45,0.629,Electronic City,0.91205,11.7
73,82,3,12.988744397503805,77.59219681180639,231,1.16,0.774,High ground,0.89784,11.5
74,11,6,12.913241478438662,77.58596642602231,269,0.97,0.922,J.P. Nagar,0.89434,11.5
75,12,5,12.912130364024419,77.62585591992821,307,1.31,0.666,HSR Layout,0.8724600000000001,11.3
